measure,label,family,level,unit,description,interpretation,requires,references
backchannel_coverage,Backchannel coverage of partner turns,backchannel,person,proportion,Share of the partner's turns longer than three seconds that received at least one acknowledgment from this person.,Distinguishes a listener who responds throughout from one who produces a burst of tokens in a single turn. Only turns long enough to invite a backchannel are counted.,turn_set,"Yngve (1970) -- 'On getting a word in edgewise', the backchannel concept | Bavelas, Coates & Johnson (2000) J. Pers. Soc. Psychol. 79:941 -- listener responses"
backchannel_diversity,Acknowledgment vocabulary diversity,backchannel,person,bits,"Shannon entropy (bits) of this person's acknowledgment tokens, over at least five tokens with transcribed text.",Zero means the same token every time -- the repetitive 'mhm... mhm... mhm' that speakers read as absent-mindedness (Gardner 2001). Higher values mean the listener's responses varied with what they were responding to.,"turn_set, transcript",Gardner (2001) When Listeners Talk -- response tokens and listener stance
backchannel_incipiency,Floor-readiness of acknowledgments,backchannel,person,index (0-2),"Mean position of this person's acknowledgment tokens on the passive-recipiency to incipient-speakership gradient: 0 for pure continuers ('mhm'), 1 for floor-ready tokens ('yeah', 'okay'), 2 for closure moves ('exactly', 'got it'). At least five scoreable tokens required.","Acknowledgment tokens are not interchangeable: 'mhm' cedes the floor, 'yeah' projects readiness to take it (Jefferson 1984; Drummond & Hopper 1993). A listener living near 0 is settled in; one near 2 keeps signaling they are ready to wrap the telling up.","turn_set, transcript",Jefferson (1984) -- acknowledgment tokens 'yeah' and 'mm hm' and speakership incipiency | Drummond & Hopper (1993) Res. Lang. Soc. Interact. 26:157 -- backchannels revisited
backchannel_latency,Backchannel latency after partner pause,backchannel,person,s,"Median delay between the partner reaching a brief within-turn pause and this person producing an acknowledgment, when one follows within two seconds.",Short latencies indicate the listener is tracking the speaker's phrase structure and responding at natural invitation points.,turn_set,
backchannel_rate,Backchannel rate,backchannel,person,per minute of partner speech,"Acknowledgment tokens ('mhm', 'right', 'yeah') this person produced per minute of their partner's speaking time.",The standard vocal index of active listening. Normalized by the partner's talk time so that someone with a quiet partner is not penalized for having had fewer opportunities.,turn_set,"Yngve (1970) -- 'On getting a word in edgewise', the backchannel concept | Bavelas, Coates & Johnson (2000) J. Pers. Soc. Psychol. 79:941 -- listener responses"
backchannel_reciprocity,Backchannel reciprocity,backchannel,dyad,index,"How evenly the two partners produced acknowledgments, as 1 minus the absolute difference in their shares of the dyad's total.",1.0 means both listened back equally; 0.0 means only one person ever acknowledged the other.,turn_set,
backchannel_relative_position,Mean backchannel position within turn,backchannel,person,proportion of turn,"Where in the partner's turn this person's acknowledgments fall, as a fraction of the turn's length. 0 is the very start, 1 the very end.",Values near 1 suggest the token is functioning as a turn-yielding signal rather than as continuous listenership.,turn_set,
backchannel_specific_rate,Specific-assessment rate,backchannel,person,per minute of partner speech,"Acknowledgments that comment on the content they follow ('wow', 'exactly', 'no way') per minute of the partner's speaking time, as opposed to generic continuers ('mhm', 'yeah').","The kind of listening that does causal work: when listeners were experimentally distracted, it was specifically these responses that disappeared, and speakers' stories measurably suffered (Bavelas et al. 2000).","turn_set, transcript","Bavelas, Coates & Johnson (2000) J. Pers. Soc. Psychol. 79:941 -- specific listener responses shape the speaker's narrative | Stivers (2008) Res. Lang. Soc. Interact. 41:31 -- generic continuers vs. specific assessments | Tolins & Fox Tree (2014) J. Pragmatics 70:152 -- addressee backchannels steer narrative development"
backchannel_specific_share,Specific share of acknowledgments,backchannel,person,proportion,"Of this person's classifiable acknowledgments, the proportion that were specific assessments rather than generic continuers. Requires at least five classifiable tokens.",Distinguishes an engaged listener from a polite one at the same overall backchannel rate. All-generic listening ('mhm...mhm') can read as inattention (Gardner 2001).,"turn_set, transcript","Bavelas, Coates & Johnson (2000) J. Pers. Soc. Psychol. 79:941 -- specific listener responses shape the speaker's narrative | Stivers (2008) Res. Lang. Soc. Interact. 41:31 -- generic continuers vs. specific assessments | Tolins & Fox Tree (2014) J. Pragmatics 70:152 -- addressee backchannels steer narrative development"
gesture_rate,Hand gesture rate,body,person,per minute of own speech,"Bursts of hand movement above a speed threshold, per minute of this person's speaking time.",Normalized by own speaking time because co-speech gesture is produced while talking; dividing by session length would confound gesturing with talkativeness.,"body, turn_set",
posture_shift_rate,Postural shift rate,body,person,per minute,"Distinct movements of the torso center per minute, in shoulder-width units so the value does not depend on camera distance.","Frequent shifting is commonly read as discomfort or restlessness, but it also rises with animated storytelling, so it should be interpreted alongside gesture rate rather than alone.",body,
self_touch_proportion,Time touching own face,body,person,proportion,Proportion of tracked frames in which a hand was close to the face.,"Face-directed self-touch is a much-cited proxy for self-soothing under discomfort. The evidence for that reading is mixed, so it is offered as a descriptive behavior rather than an anxiety score.",body,
brow_raise_count,Number of eyebrow raises,counts,person,count,Distinct eyebrow raises above threshold.,,face,
callback_count,Number of callbacks,counts,person,count,"Times this person returned to something said at least four turns earlier, sharing a rare content anchor with it.","Usually a small number, which is why the count matters: a rate of 0.4 per minute over ten minutes is four events, and four events describe this conversation rather than estimate a tendency.",semantics,
change_of_state_count,Number of change-of-state tokens,counts,person,count,"Tokens like ""oh"" and ""ah"" marking newly received information.",,"turn_set, transcript",
compliment_count,Number of compliments,counts,person,count,Turns opening with a compliment form addressed to the partner.,"Lexical detection of a small, conventionalised set of openers, so this is a floor: a compliment phrased unusually is missed.","turn_set, transcript",
followup_question_count,Number of follow-up questions,counts,person,count,Questions that took up what the partner had just said rather than opening a new line.,,"semantics, turn_set, transcript",
gesture_count,Number of hand gestures,counts,person,count,Bursts of hand movement above the speed threshold.,,body,
hesitation_count,Number of hesitations,counts,person,count,"Held vowels found acoustically in this person's speech -- the ""uh"" and ""um"" the transcript mostly loses.",,filled_pauses,
interrupted_count,Number of times interrupted,counts,person,count,Times the partner came in while this person held the floor.,,"overlap_evidence, turn_set",
interruption_count,Number of interruptions,counts,person,count,Times this person began speaking while the partner held the floor.,Requires a recording in which simultaneous speech is detectable at all. On sessions where both files carry one mixed feed this is withheld rather than reported as zero.,"overlap_evidence, turn_set",
laughter_count,Number of laughs,counts,person,count,Distinct laughter episodes detected in this person's audio.,"The count behind the laughter rate. Detection is acoustic, so a quiet exhaled laugh is missed more often than a voiced one and this should be read as a lower bound.",laughter,
mutual_gaze_episode_count,Number of mutual gaze episodes,counts,dyad,count,"Episodes in which both people looked at each other at once, lasting at least the configured minimum.",,face,
other_directed_callback_count,Number of callbacks to the partner,counts,person,count,Callbacks reaching back to something the *partner* said rather than to this person's own earlier point.,,"semantics, turn_set",
other_repair_count,Number of other-initiated repairs,counts,person,count,Times this person signalled that they had not understood and asked the partner to redo the turn.,,"turn_set, transcript",
posture_shift_count,Number of postural shifts,counts,person,count,Distinct movements of the torso centre.,,body,
question_count,Number of questions,counts,person,count,"Turns classified as a wh-question, a yes/no question or a tag question from their wording.","Classified from the transcript, so it inherits the recognizer's errors: a question marked only by rising intonation and not by wording will be missed.","turn_set, transcript",
shared_laughter_count,Number of shared laughs,counts,dyad,count,Laughs by one person that the other joined within the co-laughter window.,,laughter,
silence_count,Number of shared silences,counts,dyad,count,Stretches in which neither person was speaking.,,turn_set,
turn_count_total,Turns in the conversation,counts,dyad,count,Floor-holding turns by both participants together.,"The sample size behind every turn-level median and spread in the report. Below about twenty, those numbers are descriptive of this recording rather than estimates of anything.",turn_set,
turn_transition_overlap_count,Number of overlapping turn onsets,counts,person,count,Turns this person began before the partner had finished -- early onsets that reflect projecting the turn end rather than competing.,,"overlap_evidence, turn_set",
within_turn_pause_count,Number of pauses inside turns,counts,person,count,"Silences inside this person's own turns -- planning pauses, as opposed to the gaps between turns.",,turn_set,
backchannel_rate_trend,Change in backchannel rate,dynamics,person,per minute,Backchannels per minute in the final third minus the first third.,Rising acknowledgment suggests growing engagement.,turn_set,
coherence_trend,Change in response coherence,dynamics,dyad,cosine similarity,Mean semantic similarity between adjacent turns in the final third minus the first third.,"Rising coherence suggests the pair settling into a shared topic; falling coherence, a search for something to talk about.","semantics, turn_set",
gaze_trend,Change in gaze at partner,dynamics,person,proportion,Proportion of time looking at the partner in the final third minus the first third.,Increasing mutual attention over a first meeting is associated with growing comfort; the reverse pattern with disengagement.,face,
laughter_trend,Change in laughter rate,dynamics,person,per minute,Laughter episodes per minute in the final third minus the first.,,laughter,
response_latency_trend,Change in response latency,dynamics,person,s,This person's median response latency in the final third of the conversation minus the first third. Negative means they got faster.,Latencies shortening over a first meeting is the clearest available signature of a pair warming up: the partners become able to project each other's turn endings.,turn_set,
silence_trend,Change in mutual silence,dynamics,dyad,proportion,Proportion of time in mutual silence in the final third minus the first third.,"Rising silence is the most direct signal of a conversation running down, and is often more diagnostic than the overall silence level.",turn_set,
smile_trend,Change in smiling,dynamics,person,proportion,Proportion of time smiling in the final third minus the first third.,,face,
turn_duration_trend,Change in turn length,dynamics,person,s,Mean turn duration in the final third minus the first third. Positive means contributions grew longer.,Lengthening turns often accompany deeper disclosure; shortening ones can indicate the conversation running out of material.,turn_set,
brow_raise_rate,Eyebrow raise rate,facial_expression,person,per minute,Distinct eyebrow raises per minute.,"Brow flashes accompany surprise, emphasis and greeting, and often mark points of heightened involvement.",face,
duchenne_smile_ratio,Share of smiles involving the eyes,facial_expression,person,proportion,Proportion of this person's smiles during which the muscles around the eyes (cheek raise and eye narrowing) were also active.,"Smiles involving orbicularis oculi are harder to produce deliberately and are the standard marker distinguishing felt enjoyment from a social smile. The distinction is a matter of degree rather than a clean dichotomy, so this is a proxy, not a sincerity detector.",face,"Ekman, Davidson & Friesen (1990) J. Pers. Soc. Psychol. 58:342 -- the Duchenne smile"
facial_expressivity,Facial expressivity,facial_expression,person,activation per frame,"Mean frame-to-frame change across 21 expressive facial actions -- how much the face moves, rather than how activated it is at rest.",Measured as movement so that a person with naturally raised brows is not scored as permanently expressive.,face,
shared_smile_proportion,Time smiling together,facial_expression,dyad,proportion,Proportion of the conversation with both people smiling at once.,Simultaneous smiling is a dyadic marker of shared positive affect and tracks self-reported enjoyment more closely than either person's smiling alone.,face,
smile_count,Number of smiles,facial_expression,person,count,"Count of distinct smile episodes: stretches above the smile threshold, merged across gaps shorter than 0.2 s.","Episodes rather than frames, so a single long smile counts once. The merging matters: without it, one smile that dips briefly below threshold would be reported as several.",face,
smile_mean_duration,Mean smile length,facial_expression,person,seconds,Mean duration of a smile episode.,,face,
smile_proportion,Time smiling,facial_expression,person,proportion,Proportion of tracked frames with a smile above threshold sustained for at least 300 ms.,,face,
smile_total_duration,Time spent smiling,facial_expression,person,seconds,Total seconds occupied by detected smile episodes.,,face,
gaze_partner_proportion,Time looking at partner,gaze,person,proportion,"Proportion of tracked frames in which this person's gaze was within tolerance of the partner's direction. The partner's direction is estimated from the mode of this person's own gaze distribution, since the camera geometry is not recorded.","Gaze at the partner is the canonical index of attention, but it is confounded with how much of the session the person spent listening; the role-conditioned versions below separate the two.",face,Kendon (1967) Acta Psychologica 26:22 -- gaze direction in conversation | Argyle & Dean (1965) Sociometry 28:289 -- eye contact and intimacy equilibrium
gaze_partner_time,Time looking at partner,gaze,person,seconds,"Seconds spent with gaze within tolerance of the estimated partner direction, counting only frames where the face was tracked.","The quantity behind the gaze proportion. Because untracked frames are excluded rather than assumed, this under-counts by however much tracking was lost -- check face coverage before comparing two people.",face,
gaze_speaker_listener_gap,Speaking-listening gaze difference,gaze,person,proportion,Gaze at partner while listening minus gaze at partner while speaking.,Positive values reproduce the standard pattern of looking away to plan and back to listen. Values near zero indicate an unusually steady gaze regime in either direction.,"face, turn_set",Kendon (1967) Acta Psychologica 26:22 -- gaze direction in conversation | Argyle & Dean (1965) Sociometry 28:289 -- eye contact and intimacy equilibrium
gaze_while_listening,Gaze at partner while listening,gaze,person,proportion,"Proportion of frames looking at the partner, restricted to times when the partner held the floor and this person was silent.","The purest available index of visual attention to the partner, since it is measured only when the person had nothing else to do.","face, turn_set",Kendon (1967) Acta Psychologica 26:22 -- gaze direction in conversation | Argyle & Dean (1965) Sociometry 28:289 -- eye contact and intimacy equilibrium
gaze_while_speaking,Gaze at partner while speaking,gaze,person,proportion,"Proportion of frames looking at the partner, restricted to times when this person held the floor.","Normally lower than gaze while listening, because speakers look away while planning. Speakers who maintain gaze are often described as more engaging, though the effect is not uniformly positive.","face, turn_set",Kendon (1967) Acta Psychologica 26:22 -- gaze direction in conversation | Argyle & Dean (1965) Sociometry 28:289 -- eye contact and intimacy equilibrium
mutual_gaze_episode_rate,Mutual gaze episode rate,gaze,dyad,per minute,"Episodes of mutual gaze lasting at least 300 ms, per minute. Brief coincidental alignments are excluded.",,face,
mutual_gaze_proportion,Time in mutual gaze,gaze,dyad,proportion,Proportion of the conversation in which both people were looking at each other at the same time.,"Mutual gaze is a dyadic achievement rather than a sum of two individual behaviors, and is associated with rapport and with perceived intimacy.",face,Kendon (1967) Acta Psychologica 26:22 -- gaze direction in conversation | Argyle & Dean (1965) Sociometry 28:289 -- eye contact and intimacy equilibrium
head_shake_count,Number of head shakes,head,person,count,"Rhythmic side-to-side head movements, counted by the same cycle rule as nods but on the yaw axis.","Often disagreement or disbelief, but also used as an intensifier while telling a story, so it should not be read as negative on its own.",face,"Hadar, Steiner, Grant & Rose (1983) Human Movement Science 2:35 -- conversational head movement at 0.2-7 Hz in slow, ordinary and rapid classes | Hadar, Steiner & Rose (1985) J. Nonverbal Behavior 9:214 -- cyclic versus linear head movement during listening turns"
head_shake_rate,Head shake rate,head,person,per minute,Head shakes per minute of conversation.,,face,"Hadar, Steiner, Grant & Rose (1983) Human Movement Science 2:35 -- conversational head movement at 0.2-7 Hz in slow, ordinary and rapid classes | Hadar, Steiner & Rose (1985) J. Nonverbal Behavior 9:214 -- cyclic versus linear head movement during listening turns"
nod_count,Number of nods,head,person,count,"Total nods. A nod is one or more continuous vertical head movements; it must contain at least one full cycle, meaning a movement and its return, so a single unreturned dip of the head does not count.",The headline count. Read it next to the rate rather than instead of it: the same count means different things in a six-minute and a sixteen-minute conversation.,face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution | Hadar, Steiner, Grant & Rose (1983) Human Movement Science 2:35 -- conversational head movement at 0.2-7 Hz in slow, ordinary and rapid classes | Hadar, Steiner & Rose (1985) J. Nonverbal Behavior 9:214 -- cyclic versus linear head movement during listening turns"
nod_count_double,Double nods (2 cycles),head,person,count,Nods consisting of two cycles.,"Repetition is one of the features Poggi et al. use to separate nod types, so a shift between single and double nodding is a change in what the nods are doing, not only in how many there are.",face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_count_listening,Nods while listening,head,person,count,"Nods produced while the partner held the floor and this person was silent. The nod's midpoint decides, not its onset.",The visual counterpart of a vocal backchannel and the most direct index of active listening this pipeline produces.,"face, turn_set","Bavelas, Coates & Johnson (2000) J. Pers. Soc. Psychol. 79:941 -- listener responses as a collaborative process | Dittmann & Llewellyn (1968) J. Pers. Soc. Psychol. 9:79 -- head nods as listener responses to vocalization | Poggi, D'Errico & Vincze (2010) LREC 2010:2570 -- types of nods, organised by speaker versus listener role | McClave (2000) J. Pragmatics 32:855 -- linguistic functions of speakers' head movements"
nod_count_multiple,Multiple nods (4+ cycles),head,person,count,"Nods of four cycles or more, pooled.",Rare -- Mori et al. put nods of six cycles or more at about 4% -- and pooled because splitting them further gives counts too small to compare between people.,face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_count_single,Single nods (1 cycle),head,person,count,Nods consisting of one cycle: the head moved and returned once.,"The most common nod. In Mori et al.'s corpus of 9,223 hand-checked nods, 42% were single, and this detector reproduces that share on the lab's own recordings.",face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_count_speaking,Nods while speaking,head,person,count,Nods produced while this person held the floor.,"Not a listening signal at all. McClave (2000) documents speakers using head movement to intensify, to mark inclusivity, to set off quoted speech and to enumerate. Counting these together with listener nods is the single easiest way to make a nod measure mean nothing.","face, turn_set","Poggi, D'Errico & Vincze (2010) LREC 2010:2570 -- types of nods, organised by speaker versus listener role | McClave (2000) J. Pragmatics 32:855 -- linguistic functions of speakers' head movements"
nod_count_triple,Triple nods (3 cycles),head,person,count,Nods consisting of three cycles.,"Uncommon. Long nods tend to accompany strong agreement or an attempt to hand the floor back, but the count is usually small enough that individual sessions should not be over-read.",face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_cycles_mean,Mean nod length,head,person,cycles,Mean number of cycles per nod.,Around 1.8 in the reference corpus. Values close to 1.0 describe someone who marks acknowledgement once and stops; higher values describe sustained nodding runs.,face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_cycles_total,Total nod cycles,head,person,count,"Sum of every nod's length in cycles. A single nod contributes one, a triple contributes three.","How much nodding happened, as opposed to how many separate times it started. Two people with the same nod count can differ twofold here, and that difference is a real difference in behavior.",face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_frequency_median,Median nod frequency,head,person,Hz,Median cycles per second within a nod.,Expected in the 1.9-3.6 Hz 'ordinary' band of Hadar et al. (1983). A median at the edge of the search band is a sign the detector is picking up something other than nodding and the recording is worth watching.,face,"Hadar, Steiner, Grant & Rose (1983) Human Movement Science 2:35 -- conversational head movement at 0.2-7 Hz in slow, ordinary and rapid classes | Hadar, Steiner & Rose (1985) J. Nonverbal Behavior 9:214 -- cyclic versus linear head movement during listening turns"
nod_listening_share,Share of nods produced while listening,head,person,proportion,Listening nods as a proportion of this person's listening and speaking nods combined. Nods during simultaneous speech or during silence with no floor-holder are excluded from both.,"Near 1.0 describes someone whose nodding is entirely acknowledgement of the partner. Values near 0.5 describe someone who also nods through their own speech, which is a speaking style rather than a listening one.","face, turn_set","Poggi, D'Errico & Vincze (2010) LREC 2010:2570 -- types of nods, organised by speaker versus listener role | McClave (2000) J. Pragmatics 32:855 -- linguistic functions of speakers' head movements"
nod_magnitude_median,Median nod magnitude,head,person,degrees,"Median across nods of the largest peak-to-trough head-pitch excursion within the nod, in degrees.","How emphatic the nodding was. Amplitude is one of the kinematic properties Hadar et al. found to separate conversational functions of head movement, and one of the production features in Poggi et al.'s typology.",face,"Hadar, Steiner, Grant & Rose (1983) Human Movement Science 2:35 -- conversational head movement at 0.2-7 Hz in slow, ordinary and rapid classes | Hadar, Steiner & Rose (1985) J. Nonverbal Behavior 9:214 -- cyclic versus linear head movement during listening turns | Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_mean_duration,Mean nod duration,head,person,seconds,"Mean wall-clock duration of a nod, in seconds.",,face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_rate,Nod rate,head,person,per minute,Nods per minute of conversation.,"The count divided by session length. It mixes nodding while listening with nodding while speaking, which are separated below.",face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_rate_while_listening,Nod rate while listening,head,person,per minute of listening,Nods per minute of listening time -- time when the partner held the floor and this person was silent.,"Normalized by the partner's talk time rather than by session length, so that having a quiet partner does not read as inattention.","face, turn_set","Bavelas, Coates & Johnson (2000) J. Pers. Soc. Psychol. 79:941 -- listener responses as a collaborative process | Dittmann & Llewellyn (1968) J. Pers. Soc. Psychol. 9:79 -- head nods as listener responses to vocalization"
nod_rate_while_speaking,Nod rate while speaking,head,person,per minute of own speech,Nods per minute of this person's own speaking time.,Speaker head movement is partly prosodic: it lands on stressed syllables and at phrase boundaries. Read it alongside gesture rate rather than as a measure of agreement.,"face, turn_set","Poggi, D'Errico & Vincze (2010) LREC 2010:2570 -- types of nods, organised by speaker versus listener role | McClave (2000) J. Pragmatics 32:855 -- linguistic functions of speakers' head movements | Hadar, Steiner, Grant & Rose (1983) Human Movement Science 2:35 -- conversational head movement at 0.2-7 Hz in slow, ordinary and rapid classes | Hadar, Steiner & Rose (1985) J. Nonverbal Behavior 9:214 -- cyclic versus linear head movement during listening turns"
nod_single_proportion,Share of nods that are single,head,person,proportion,Single-cycle nods as a proportion of all this person's nods.,"A scale-free summary of the length distribution. The reference value is 0.42; a much higher value describes clipped, perfunctory acknowledgement and a much lower one describes sustained nodding.",face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
nod_total_duration,Time spent nodding,head,person,seconds,Total seconds occupied by nods.,Read with the count and the mean length: the same total can be a few long agreements or many short ones.,face,"Mori, Den & Jokinen (2025) PLoS ONE 20(5):e0323448 -- structure of nods in conversation; cycle definition and length distribution"
floor_hold_rate,Floor retention when interrupted,interruption,person,proportion,Share of interruptions against this person that they resisted by continuing to speak.,,"turn_set, overlap_evidence",
interrupted_rate,Rate of being interrupted,interruption,person,per minute,Times per minute this person was interrupted mid-turn by the partner.,,"turn_set, overlap_evidence",
interruption_asymmetry,Interruption asymmetry,interruption,dyad,per minute,Person A's interruption rate minus person B's. Positive means A interrupted more often than B did.,A dyad-level index of who was competing for the floor. Sign is fixed as A minus B for cross-session comparability.,"turn_set, overlap_evidence",
interruption_rate,Interruption rate,interruption,person,per minute,Times per minute this person began speaking while the partner was still well inside a turn. Onsets close enough to the turn end to be ordinary turn-taking are excluded and counted separately.,High rates can reflect either dominance or high involvement; the success rate and the partner's reaction distinguish the two.,"turn_set, overlap_evidence",Zimmerman & West (1975) -- interruptions vs overlaps in conversation | Drew (2009) -- 'Quit talking while I'm interrupting': overlap onset position
interruption_success_rate,Interruption success rate,interruption,person,proportion,Share of this person's interruptions after which they held the floor and the partner stopped.,"Success is judged from whether the interrupted speaker actually stopped, so it measures the outcome of the attempt rather than the attempt itself. Undefined when a person never interrupted.","turn_set, overlap_evidence",Zimmerman & West (1975) -- interruptions vs overlaps in conversation | Drew (2009) -- 'Quit talking while I'm interrupting': overlap onset position
mean_overlap_duration,Mean overlap duration,interruption,dyad,s,Average length of stretches in which both people spoke at once. Long overlaps indicate neither party yielded quickly.,,"turn_set, overlap_evidence",
